tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,1999-06-18 00:00:00,1285,ESTEBAN ECHEVERRIA Nº 4,Buenos Aires,Nacional,1285,,BERLINA 5 PUERTAS,1285,RENAULT,1285,CLIO RN 5P DIE PACK AA DA,1285,Privado,Física,EL JAGUEL,BUENOS AIRES,No identificado,1285,ARGENTINA,1285,1285,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-28 00:00:00,1999-09-14 00:00:00,1237,LOMAS DE ZAMORA Nº 7,Buenos Aires,Nacional,1237,,SEDAN,1237,CHEVROLET,1237,CORSA 4 PUERTAS GL A/A Y D/P,1237,Privado,Física,BANFIELD,BUENOS AIRES,No identificado,1237,ARGENTINA,1237,1237,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-14 00:00:00,2010-08-12 00:00:00,1264,ADROGUE Nº 5,Buenos Aires,Nacional,1264,,FURGON VIDRIADO C/ASIENTOS,1264,PEUGEOT,1264,PARTNER CONFORT 1.6 HDI_,1264,Privado,Física,LONGCHAMPS,BUENOS AIRES,Femenino,1264,ARGENTINA,1264,1264,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,1993-05-26 00:00:00,1285,ESTEBAN ECHEVERRIA Nº 4,Buenos Aires,Nacional,1285,,BERLINA 4 PTAS,1285,RENAULT,1285,RENAULT 18 GTD,1285,Privado,Física,MONTE GRANDE E.ECHEVERRIA,BUENOS AIRES,No identificado,1285,No identificado,1285,1285,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-14 00:00:00,1996-05-09 00:00:00,2019,CAPITAL FEDERAL Nº 019,Ciudad Autónoma de Bs.As.,Nacional,2019,,BERLINA 5 PTAS,2019,RENAULT,2019,RENAULT 19 RN INYEC. (BIC),2019,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,2019,ARGENTINA,2019,2019,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,2007-07-03 00:00:00,1240,JOSE C. PAZ Nº 1,Buenos Aires,Nacional,1240,,furgon vidriado c/as,1240,CITROEN,1240,BERLINGO F.1.9D FULL /2007,1240,Privado,Física,JOSE C PAZ,BUENOS AIRES,No identificado,1240,ARGENTINA,1240,1240,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-04 00:00:00,1999-10-21 00:00:00,1264,ADROGUE Nº 5,Buenos Aires,Nacional,1264,,BERLINA 5 PUERTAS,1264,RENAULT,1264,CLIO RN 5P DIE PACK AA DA,1264,Privado,Física,GLEW,BUENOS AIRES,Masculino,1264,ARGENTINA,1264,1264,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-12 00:00:00,1997-01-14 00:00:00,1204,MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5),Buenos Aires,Nacional,1204,,BERLINA 5 PTAS,1204,RENAULT,1204,RENAULT 19 RN DIESEL BIC,1204,Privado,Física,VILLA DE MAYO,BUENOS AIRES,Masculino,1204,ARGENTINA,1204,1204,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,2002-12-04 00:00:00,1209,BERAZATEGUI Nº 3,Buenos Aires,Nacional,1209,,FURGON 600,1209,PEUGEOT,1209,PAR FU D DA PLC 600,1209,Privado,Física,BERAZATEGUI,BUENOS AIRES,No identificado,1209,ARGENTINA,1209,1209,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-13 00:00:00,2008-01-08 00:00:00,1220,AVELLANEDA Nº 6,Buenos Aires,Nacional,1220,,FURGON 600,1220,PEUGEOT,1220,PARTNER FURGON D PLC CONFORT,1220,Privado,Física,VILLA DOMÍNICO,BUENOS AIRES,No identificado,1220,ARGENTINA,1220,1220,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-26 00:00:00,1999-07-16 00:00:00,1234,ADROGUE Nº 4,Buenos Aires,Nacional,1234,,BERLINA 3 PTAS,1234,RENAULT,1234,CLIO RL 3PTAS.,1234,Privado,Física,CLAYPOLE,BUENOS AIRES,No identificado,1234,ARGENTINA,1234,1234,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-07 00:00:00,1982-09-07 00:00:00,1211,QUILMES Nº 6,Buenos Aires,Nacional,1211,,COUPE 2 PUERTAS,1211,FORD,1211,TAUNUS VERSION GT,1211,Privado,Física,QUILMES,BUENOS AIRES,No identificado,1211,ARGENTINA,1211,1211,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,2012-04-25 00:00:00,1214,ITUZAINGO Nº 1 (EX. MORON Nº 8),Buenos Aires,Protocolo 21,1214,,furgon vidriado c/as,1214,FIAT,1214,FIORINO FIRE 1242 MPI 8V,1214,Privado,Física,ITUZAINGO,BUENOS AIRES,No identificado,1214,ARGENTINA,1214,1214,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-07 00:00:00,1999-09-16 00:00:00,1257,MORENO Nº 3,Buenos Aires,Nacional,1257,,SEDAN,1257,CHEVROLET,1257,CORSA 4 PUERTAS GL,1257,Privado,Física,CUARTEL V,BUENOS AIRES,Masculino,1257,ARGENTINA,1257,1257,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-24 00:00:00,1999-06-04 00:00:00,1216,QUILMES Nº 7,Buenos Aires,Nacional,1216,,SEDAN,1216,CHEVROLET,1216,CORSA GL 1.6 MPFI 4 PTAS,1216,Privado,Física,SAN FCO.SOLANO,BUENOS AIRES,Masculino,1216,ARGENTINA,1216,1216,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-28 00:00:00,1989-06-29 00:00:00,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,1227,,RURAL 4 PTAS,1227,RENAULT,1227,18 TXE BREAK,1227,Privado,Física,LAFERRERE,BUENOS AIRES,Masculino,1227,ARGENTINA,1227,1227,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,2007-07-27 00:00:00,1310,LA PLATA Nº 17,Buenos Aires,Nacional,1310,,FURGON 600,1310,PEUGEOT,1310,PARTNER FURGON 1.9D PRESENCE,1310,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1310,ARGENTINA,1310,1310,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,2012-08-27 00:00:00,1316,JOSE C. PAZ Nº 3,Buenos Aires,Nacional,1316,,FURGON VID. C/ASIENT,1316,RENAULT,1316,KANGOO CONFORT 1.5 DCI CD DA SVT 1P,1316,Privado,Física,JOSE.C.PAZ,BUENOS AIRES,Masculino,1316,PARAGUAY,1316,1316,PRY
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,2000-02-02 00:00:00,2043,CAPITAL FEDERAL Nº 043,Ciudad Autónoma de Bs.As.,Nacional,2043,A1,SEDAN 4 PUERTAS,2043,RENAULT,2043,RENAULT 19 INJECTION C/AA,2043,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,2043,ARGENTINA,2043,2043,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-27 00:00:00,2009-12-28 00:00:00,2043,CAPITAL FEDERAL Nº 043,Ciudad Autónoma de Bs.As.,Nacional,2043,99,FURGON VIDRIADO C/ASIENTOS,2043,PEUGEOT,2043,PARTNER FURGON D PLC CONFORT,2043,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,2043,ARGENTINA,2043,2043,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-26 00:00:00,1999-10-15 00:00:00,1183,OLIVOS Nº 06,Buenos Aires,Nacional,1183,99,FURGON VIDRIADO C/ASIENTOS,1183,RENAULT,1183,KANGOO RL EXPRESS DIE DA,1183,Privado,Física,OLIVOS,BUENOS AIRES,Masculino,1183,ARGENTINA,1183,1183,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-07 00:00:00,2000-01-28 00:00:00,1185,ADROGUE Nº 3,Buenos Aires,Nacional,1185,99,FURGON VIDRIADO CON ASIENTOS,1185,RENAULT,1185,KANGOO RL EXPRESS DIE DA,1185,Privado,Física,CLAYPOLE,BUENOS AIRES,Masculino,1185,ARGENTINA,1185,1185,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-17 00:00:00,2008-02-08 00:00:00,1146,MERLO Nº 2,Buenos Aires,Nacional,1146,99,FURGON VIDRIADO C/ASIENTOS,1146,RENAULT,1146,KANGOO EXP CONFORT 1.9 AA,1146,Privado,Física,MERLO,BUENOS AIRES,No identificado,1146,ARGENTINA,1146,1146,ARG
